customer_id,Recency,Frequency,Monetary_CLV,Avg_Order_Value,Total_Quantity,Avg_Quantity,Customer_Lifespan,Discount_Usage_Rate,R_Score,F_Score,M_Score,RFM_Total_Score,RFM_Code,RFM_Level,ML_Cluster
CUST01316,640,1,41.36000061035156,41.36000061035156,4,4.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01172,1074,1,42.060001373291016,42.060001373291016,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST00538,193,1,42.18000030517578,42.18000030517578,1,1.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST01438,528,1,44.380001068115234,44.380001068115234,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00406,101,1,45.939998626708984,45.939998626708984,2,2.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST00336,498,1,46.09000015258789,46.09000015258789,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01715,743,1,46.369998931884766,46.369998931884766,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02741,647,1,47.349998474121094,47.349998474121094,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01267,1057,1,49.470001220703125,49.470001220703125,3,3.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01607,952,1,49.93000030517578,49.93000030517578,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02558,979,1,50.650001525878906,50.650001525878906,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST00936,35,1,52.560001373291016,52.560001373291016,4,4.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST00011,568,1,53.380001068115234,53.380001068115234,2,2.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00013,570,1,53.79999923706055,53.79999923706055,5,5.0,0,1.0,3,2,1,6,321,Low Value,0
CUST01684,1046,1,53.83000183105469,53.83000183105469,7,7.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02686,508,1,54.41999816894531,54.41999816894531,3,3.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02212,163,1,54.599998474121094,54.599998474121094,10,10.0,0,1.0,5,4,1,10,541,Medium Value,1
CUST00241,150,1,55.369998931884766,55.369998931884766,7,7.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01180,167,1,55.68000030517578,55.68000030517578,3,3.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01353,1034,1,56.52000045776367,56.52000045776367,4,4.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02415,300,1,58.06999969482422,58.06999969482422,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST02973,160,1,59.709999084472656,59.709999084472656,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01695,122,1,60.2400016784668,60.2400016784668,6,6.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST02065,682,1,61.54999923706055,61.54999923706055,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01931,340,1,62.7400016784668,62.7400016784668,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST00976,40,1,62.779998779296875,62.779998779296875,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST00133,276,1,63.18000030517578,63.18000030517578,3,3.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST02220,325,1,64.19999694824219,64.19999694824219,4,4.0,0,1.0,4,3,1,8,431,Low Value,0
CUST03116,451,1,64.5999984741211,64.5999984741211,2,2.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02152,656,1,64.8499984741211,64.8499984741211,5,5.0,0,1.0,2,2,1,5,221,Low Value,0
CUST00692,1076,1,66.0199966430664,66.0199966430664,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01418,124,1,67.2300033569336,67.2300033569336,3,3.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST00468,855,1,68.94999694824219,68.94999694824219,7,7.0,0,1.0,1,1,1,3,111,Low Value,0
CUST03234,239,1,69.27999877929688,69.27999877929688,4,4.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST03201,763,1,69.33000183105469,69.33000183105469,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02512,384,1,70.0,70.0,7,7.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00788,151,1,70.30000305175781,70.30000305175781,2,2.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST02801,843,1,71.16999816894531,71.16999816894531,1,1.0,0,1.0,2,1,1,4,211,Low Value,0
CUST01377,844,1,74.38999938964844,74.38999938964844,1,1.0,0,1.0,2,1,1,4,211,Low Value,0
CUST03062,785,1,74.98999786376953,74.98999786376953,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01665,753,1,77.63999938964844,77.63999938964844,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02788,341,1,79.08000183105469,79.08000183105469,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST01498,548,1,79.1500015258789,79.1500015258789,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00116,40,1,79.91999816894531,79.91999816894531,12,12.0,0,1.0,5,4,1,10,541,Medium Value,1
CUST00492,139,1,80.44000244140625,80.44000244140625,2,2.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01197,208,1,80.8499984741211,80.8499984741211,11,11.0,0,1.0,4,4,1,9,441,Medium Value,1
CUST00904,369,1,81.41000366210938,81.41000366210938,7,7.0,0,1.0,4,3,1,8,431,Low Value,0
CUST00446,725,1,81.44000244140625,81.44000244140625,4,4.0,0,1.0,2,2,1,5,221,Low Value,0
CUST03003,232,1,82.0199966430664,82.0199966430664,3,3.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST02011,539,1,83.37000274658203,83.37000274658203,3,3.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01877,623,1,83.79000091552734,83.79000091552734,7,7.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02039,362,1,83.91000366210938,83.91000366210938,3,3.0,0,1.0,4,3,1,8,431,Low Value,0
CUST00518,553,1,84.08000183105469,84.08000183105469,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01299,339,1,85.6500015258789,85.6500015258789,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST01330,575,1,85.76000213623047,85.76000213623047,1,1.0,0,1.0,3,2,1,6,321,Low Value,0
CUST01653,759,1,86.23999786376953,86.23999786376953,8,8.0,0,1.0,2,2,1,5,221,Low Value,1
CUST01493,784,1,87.72000122070312,87.72000122070312,6,6.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01531,54,1,88.51000213623047,88.51000213623047,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01844,467,1,89.29000091552734,89.29000091552734,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02073,349,1,91.3499984741211,91.3499984741211,7,7.0,0,1.0,4,3,1,8,431,Low Value,0
CUST02278,707,1,91.63999938964844,91.63999938964844,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01200,999,1,92.23999786376953,92.23999786376953,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02678,576,1,92.33000183105469,92.33000183105469,1,1.0,0,1.0,3,2,1,6,321,Low Value,0
CUST00475,863,1,94.45999908447266,94.45999908447266,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST00682,400,1,95.33999633789062,95.33999633789062,7,7.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01219,987,1,95.55000305175781,95.55000305175781,15,15.0,0,1.0,1,1,1,3,111,Low Value,1
CUST00569,616,1,95.55999755859375,95.55999755859375,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST00033,716,1,96.29000091552734,96.29000091552734,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01027,837,1,98.16000366210938,98.16000366210938,6,6.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01718,338,1,100.98999786376953,100.98999786376953,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST02949,470,1,101.44000244140625,101.44000244140625,8,8.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00443,730,1,101.63999938964844,101.63999938964844,2,2.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02759,960,1,101.7699966430664,101.7699966430664,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST03253,1093,1,102.36000061035156,102.36000061035156,6,6.0,0,1.0,1,1,1,3,111,Low Value,0
CUST00092,1004,1,102.9000015258789,102.9000015258789,14,14.0,0,1.0,1,2,1,4,121,Low Value,1
CUST00577,1033,1,104.16000366210938,104.16000366210938,14,14.0,0,1.0,1,1,1,3,111,Low Value,1
CUST00869,372,1,105.80999755859375,105.80999755859375,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST02986,887,1,107.19999694824219,107.19999694824219,2,2.0,0,1.0,1,1,1,3,111,Low Value,0
CUST00902,50,1,107.58999633789062,107.58999633789062,7,7.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST03108,137,1,107.95999908447266,107.95999908447266,2,2.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST02823,600,1,108.70999908447266,108.70999908447266,7,7.0,0,1.0,3,2,1,6,321,Low Value,0
CUST00074,553,1,108.73999786376953,108.73999786376953,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01002,335,1,108.77999877929688,108.77999877929688,6,6.0,0,1.0,4,3,1,8,431,Low Value,0
CUST00579,600,1,108.9000015258789,108.9000015258789,6,6.0,0,1.0,3,2,1,6,321,Low Value,0
CUST01982,679,1,109.44000244140625,109.44000244140625,8,8.0,0,1.0,2,2,1,5,221,Low Value,1
CUST00508,907,1,112.72000122070312,112.72000122070312,8,8.0,0,1.0,1,1,1,3,111,Low Value,1
CUST01647,705,1,113.87999725341797,113.87999725341797,2,2.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02126,453,1,114.11000061035156,114.11000061035156,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02381,895,1,114.31999969482422,114.31999969482422,8,8.0,0,1.0,1,1,1,3,111,Low Value,1
CUST01814,590,1,115.47000122070312,115.47000122070312,9,9.0,0,1.0,3,2,1,6,321,Low Value,1
CUST00191,799,1,115.69999694824219,115.69999694824219,5,5.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02390,430,1,115.91999816894531,115.91999816894531,8,8.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01456,295,1,116.77999877929688,116.77999877929688,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST01023,0,1,116.80000305175781,116.80000305175781,10,10.0,0,1.0,5,4,1,10,541,Medium Value,1
CUST00959,1024,1,116.91000366210938,116.91000366210938,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02848,507,1,117.1500015258789,117.1500015258789,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01127,290,1,117.41999816894531,117.41999816894531,3,3.0,0,1.0,4,3,1,8,431,Low Value,0
CUST00309,468,1,120.75,120.75,15,15.0,0,1.0,3,3,1,7,331,Low Value,1
CUST00186,607,1,121.0,121.0,11,11.0,0,1.0,3,2,1,6,321,Low Value,1
CUST00364,665,1,121.12000274658203,121.12000274658203,4,4.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02980,1072,1,121.26000213623047,121.26000213623047,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST00480,543,1,121.88999938964844,121.88999938964844,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST03167,92,1,122.5,122.5,14,14.0,0,1.0,5,4,1,10,541,Medium Value,1
CUST03221,306,1,123.81999969482422,123.81999969482422,2,2.0,0,1.0,4,3,1,8,431,Low Value,0
CUST02264,1058,1,124.18000030517578,124.18000030517578,14,14.0,0,1.0,1,1,1,3,111,Low Value,1
CUST01217,432,1,124.68000030517578,124.68000030517578,6,6.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00297,987,1,124.94999694824219,124.94999694824219,15,15.0,0,1.0,1,1,1,3,111,Low Value,1
CUST02744,507,1,125.25,125.25,3,3.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01460,697,1,125.44000244140625,125.44000244140625,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01185,370,1,126.55999755859375,126.55999755859375,14,14.0,0,1.0,4,3,1,8,431,Low Value,1
CUST01125,841,1,126.6500015258789,126.6500015258789,5,5.0,0,1.0,2,1,1,4,211,Low Value,0
CUST01520,354,1,127.44000244140625,127.44000244140625,3,3.0,0,1.0,4,3,1,8,431,Low Value,0
CUST01916,1050,1,127.70999908447266,127.70999908447266,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01549,145,1,128.66000366210938,128.66000366210938,2,2.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01590,484,1,129.0399932861328,129.0399932861328,8,8.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02120,748,1,129.61000061035156,129.61000061035156,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02601,2,1,131.63999938964844,131.63999938964844,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01049,291,1,131.9499969482422,131.9499969482422,13,13.0,0,1.0,4,3,1,8,431,Low Value,1
CUST00464,317,1,132.0,132.0,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST01214,1035,1,134.0399932861328,134.0399932861328,12,12.0,0,1.0,1,1,1,3,111,Low Value,1
CUST00166,749,1,134.52000427246094,134.52000427246094,4,4.0,0,1.0,2,2,1,5,221,Low Value,0
CUST00939,335,1,135.77000427246094,135.77000427246094,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST03243,730,1,138.42999267578125,138.42999267578125,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02821,1063,1,139.5,139.5,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02502,135,1,140.5800018310547,140.5800018310547,11,11.0,0,1.0,5,4,1,10,541,Medium Value,1
CUST02850,138,1,140.60000610351562,140.60000610351562,5,5.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST00028,970,1,140.8000030517578,140.8000030517578,5,5.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02969,841,1,141.35000610351562,141.35000610351562,11,11.0,0,1.0,2,1,1,4,211,Low Value,1
CUST01884,816,1,141.39999389648438,141.39999389648438,5,5.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01121,745,1,141.67999267578125,141.67999267578125,8,8.0,0,1.0,2,2,1,5,221,Low Value,1
CUST03248,778,1,141.75,141.75,5,5.0,0,1.0,2,2,1,5,221,Low Value,0
CUST00227,32,1,142.61000061035156,142.61000061035156,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST00654,763,1,143.67999267578125,143.67999267578125,8,8.0,0,1.0,2,2,1,5,221,Low Value,1
CUST02378,616,2,144.31999588012695,72.15999794006348,26,13.0,225,1.0,2,5,1,8,251,Low Value,1
CUST00346,984,1,145.72000122070312,145.72000122070312,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01397,918,1,147.47999572753906,147.47999572753906,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02170,741,1,148.38999938964844,148.38999938964844,11,11.0,0,1.0,2,2,1,5,221,Low Value,1
CUST00609,287,1,149.74000549316406,149.74000549316406,2,2.0,0,1.0,4,3,1,8,431,Low Value,0
CUST01627,14,1,150.85000610351562,150.85000610351562,5,5.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST02294,747,1,151.6300048828125,151.6300048828125,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02400,416,1,153.0399932861328,153.0399932861328,4,4.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01636,558,1,153.1199951171875,153.1199951171875,11,11.0,0,1.0,3,2,1,6,321,Low Value,1
CUST00498,436,1,153.4499969482422,153.4499969482422,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00382,296,1,156.1699981689453,156.1699981689453,7,7.0,0,1.0,4,3,1,8,431,Low Value,0
CUST01863,1039,1,158.24000549316406,158.24000549316406,2,2.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02159,363,1,158.63999938964844,158.63999938964844,12,12.0,0,1.0,4,3,1,8,431,Low Value,1
CUST00086,399,1,159.05999755859375,159.05999755859375,2,2.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01098,1017,1,159.52000427246094,159.52000427246094,4,4.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01859,356,1,162.47999572753906,162.47999572753906,6,6.0,0,1.0,4,3,1,8,431,Low Value,0
CUST02644,542,1,162.52000427246094,162.52000427246094,4,4.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02597,1039,1,163.1999969482422,163.1999969482422,12,12.0,0,1.0,1,1,1,3,111,Low Value,1
CUST01544,563,1,163.4199981689453,163.4199981689453,1,1.0,0,1.0,3,2,1,6,321,Low Value,0
CUST02827,523,1,164.57000732421875,164.57000732421875,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01740,567,1,165.60000610351562,165.60000610351562,5,5.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01739,817,1,165.75999450683594,165.75999450683594,2,2.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02196,815,1,167.75,167.75,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01920,693,1,168.74000549316406,168.74000549316406,2,2.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01939,822,1,168.9600067138672,168.9600067138672,12,12.0,0,1.0,2,2,1,5,221,Low Value,1
CUST02694,189,1,171.10000610351562,171.10000610351562,2,2.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST01576,1008,1,171.1199951171875,171.1199951171875,4,4.0,0,1.0,1,1,1,3,111,Low Value,0
CUST03205,891,1,171.80999755859375,171.80999755859375,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01681,13,1,173.8300018310547,173.8300018310547,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST02461,809,1,174.1300048828125,174.1300048828125,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST00392,1005,1,174.63999938964844,174.63999938964844,4,4.0,0,1.0,1,2,1,4,121,Low Value,0
CUST01437,549,1,176.16000366210938,176.16000366210938,2,2.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00640,941,1,176.36000061035156,176.36000061035156,2,2.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01773,442,1,176.38999938964844,176.38999938964844,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01711,652,1,177.0,177.0,10,10.0,0,1.0,2,2,1,5,221,Low Value,1
CUST00412,1086,1,177.05999755859375,177.05999755859375,13,13.0,0,1.0,1,1,1,3,111,Low Value,1
CUST01524,537,1,177.33999633789062,177.33999633789062,2,2.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01581,381,1,177.6999969482422,177.6999969482422,5,5.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02683,733,1,179.3699951171875,179.3699951171875,9,9.0,0,1.0,2,2,1,5,221,Low Value,1
CUST01726,446,1,179.92999267578125,179.92999267578125,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02971,70,1,180.5399932861328,180.5399932861328,6,6.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01447,1095,1,182.16000366210938,182.16000366210938,8,8.0,0,1.0,1,1,1,3,111,Low Value,1
CUST00320,1057,1,182.36000061035156,182.36000061035156,2,2.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01796,211,1,182.8000030517578,182.8000030517578,10,10.0,0,1.0,4,4,1,9,441,Medium Value,1
CUST00803,1075,1,183.6999969482422,183.6999969482422,2,2.0,0,1.0,1,1,1,3,111,Low Value,0
CUST00761,333,1,184.4499969482422,184.4499969482422,1,1.0,0,1.0,4,3,1,8,431,Low Value,0
CUST03207,174,1,186.1300048828125,186.1300048828125,7,7.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST01842,23,1,186.60000610351562,186.60000610351562,15,15.0,0,1.0,5,4,1,10,541,Medium Value,1
CUST00182,277,1,188.1999969482422,188.1999969482422,1,1.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST01245,917,1,190.49000549316406,190.49000549316406,1,1.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01063,539,1,192.07000732421875,192.07000732421875,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02999,297,1,192.83999633789062,192.83999633789062,4,4.0,0,1.0,4,3,1,8,431,Low Value,0
CUST01487,915,1,193.9499969482422,193.9499969482422,15,15.0,0,1.0,1,1,1,3,111,Low Value,1
CUST00514,524,1,194.35000610351562,194.35000610351562,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01670,870,1,195.60000610351562,195.60000610351562,15,15.0,0,1.0,1,1,1,3,111,Low Value,1
CUST00211,859,1,196.5500030517578,196.5500030517578,5,5.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01462,750,1,197.77000427246094,197.77000427246094,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST00769,661,1,197.82000732421875,197.82000732421875,2,2.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01319,40,1,198.02000427246094,198.02000427246094,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01145,115,1,198.11000061035156,198.11000061035156,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01879,35,1,199.7100067138672,199.7100067138672,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01084,431,1,200.1999969482422,200.1999969482422,4,4.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02961,171,1,201.02000427246094,201.02000427246094,1,1.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST00997,119,1,201.77999877929688,201.77999877929688,6,6.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST00796,147,1,202.67999267578125,202.67999267578125,3,3.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST01666,736,1,203.19000244140625,203.19000244140625,13,13.0,0,1.0,2,2,1,5,221,Low Value,1
CUST03166,254,1,203.27999877929688,203.27999877929688,1,1.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST01078,594,1,204.0,204.0,12,12.0,0,1.0,3,2,1,6,321,Low Value,1
CUST01924,1049,1,204.32000732421875,204.32000732421875,2,2.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02257,393,1,207.60000610351562,207.60000610351562,5,5.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01365,406,1,208.3800048828125,208.3800048828125,6,6.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01206,998,1,208.52000427246094,208.52000427246094,2,2.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01293,251,1,208.55999755859375,208.55999755859375,8,8.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST01294,978,1,208.89999389648438,208.89999389648438,10,10.0,0,1.0,1,1,1,3,111,Low Value,1
CUST03122,866,1,209.63999938964844,209.63999938964844,3,3.0,0,1.0,1,1,1,3,111,Low Value,0
CUST01942,579,1,209.85000610351562,209.85000610351562,15,15.0,0,1.0,3,2,1,6,321,Low Value,1
CUST01386,931,1,210.1199951171875,210.1199951171875,12,12.0,0,1.0,1,1,1,3,111,Low Value,1
CUST01356,657,1,210.36000061035156,210.36000061035156,3,3.0,0,1.0,2,2,1,5,221,Low Value,0
CUST01790,234,1,211.33999633789062,211.33999633789062,1,1.0,0,1.0,4,4,1,9,441,Medium Value,0
CUST00277,1084,1,212.02000427246094,212.02000427246094,2,2.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02179,80,1,212.3699951171875,212.3699951171875,3,3.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST02555,1058,1,212.5,212.5,5,5.0,0,1.0,1,1,1,3,111,Low Value,0
CUST00367,503,1,214.02000427246094,214.02000427246094,3,3.0,0,1.0,3,3,1,7,331,Low Value,0
CUST03124,620,1,216.11000061035156,216.11000061035156,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST02907,650,1,217.1199951171875,217.1199951171875,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST00663,881,1,217.22999572753906,217.22999572753906,3,3.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02274,897,1,218.0399932861328,218.0399932861328,6,6.0,0,1.0,1,1,1,3,111,Low Value,0
CUST02928,487,1,218.27999877929688,218.27999877929688,4,4.0,0,1.0,3,3,1,7,331,Low Value,0
CUST00375,114,1,218.7899932861328,218.7899932861328,9,9.0,0,1.0,5,4,1,10,541,Medium Value,1
CUST01878,471,1,221.5399932861328,221.5399932861328,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST01467,674,1,224.14999389648438,224.14999389648438,1,1.0,0,1.0,2,2,1,5,221,Low Value,0
CUST03113,537,1,224.16000366210938,224.16000366210938,1,1.0,0,1.0,3,3,1,7,331,Low Value,0
CUST02020,137,1,225.11000061035156,225.11000061035156,1,1.0,0,1.0,5,4,1,10,541,Medium Value,0
CUST02846,695,1,225.66000366210938,225.66000366210938,6,6.0,0,1.0,2,2,1,5,221,Low Value,0
